EMGValue   Timestamp   TrueFlexState
78   23880668   1
79   23900428   1
79   23920188   1
79   23939948   1
80   23959708   1
81   23979468   1
81   23999228   1
81   24018988   1
81   24038748   1
81   24058508   1
81   24078268   1
82   24098028   1
83   24117788   1
83   24137548   1
83   24157308   1
83   24177068   1
83   24196828   1
83   24216592   1
83   24236348   1
83   24256108   1
82   24275868   1
82   24295628   1
81   24315388   1
81   24335148   1
81   24354908   1
79   24374668   1
81   24394428   0
80   24414188   0
81   24433948   0
79   24453708   0
76   24473468   0
73   24493228   0
74   24512988   0
73   24532748   0
71   24552508   0
71   24572268   0
73   24592028   0
74   24611788   0
76   24631548   0
77   24651308   0
79   24671068   0
83   24690828   0
83   24710588   0
84   24730348   0
85   24750108   0
87   24769868   0
88   24789628   0
89   24809388   0
90   24829148   0
95   24848908   0
97   24868668   0
101   24889468   0
107   24910268   0
109   24931068   0
103   24951868   0
100   24972668   0
99   24992428   0
99   25012188   0
99   25031948   0
99   25051708   0
100   25072508   0
101   25093308   0
102   25114108   0
103   25134908   0
104   25155708   0
106   25176508   0
107   25197308   0
108   25218108   0
110   25238908   0
109   25259708   0
110   25280508   0
111   25301308   0
111   25322108   0
111   25342908   0
112   25363708   0
112   25384508   0
114   25405308   0
115   25426108   0
116   25446908   0
117   25467708   0
118   25488508   0
118   25509308   0
119   25530108   0
120   25550908   0
120   25571708   0
121   25592508   0
120   25613308   0
120   25634108   0
120   25654908   0
120   25675708   0
120   25696508   0
120   25717308   0
120   25738108   0
120   25758908   0
120   25779708   0
123   25800508   0
124   25821308   0
124   25842108   0
124   25862908   0
124   25883708   0
126   25904508   0
126   25925308   0
125   25946108   0
125   25966908   0
125   25987708   0
124   26008508   0
124   26029308   0
124   26050108   0
125   26070908   0
126   26091708   0
127   26112508   0
129   26133308   0
131   26154108   0
133   26174908   0
134   26195708   0
134   26216508   0
135   26237308   0
135   26258108   0
135   26278908   0
134   26299708   0
134   26320508   0
131   26341308   0
130   26362108   0
129   26382908   0
127   26403708   0
125   26424508   0
123   26445308   0
120   26466108   0
115   26486908   0
110   26507708   0
103   26528508   0
96   26548268   0
91   26568028   0
86   26587788   0
81   26607548   0
79   26627308   0
78   26647068   0
79   26666828   0
82   26686588   0
87   26706348   0
94   26726108   0
101   26746908   0
106   26767708   0
109   26788508   0
113   26809308   0
115   26830108   0
118   26850908   0
120   26871708   0
122   26892508   0
124   26913308   0
127   26934108   0
129   26954908   0
131   26975708   0
134   26996508   0
134   27017308   0
